timestamp,rnti,dl_bytes,ul_bytes,mcs_ul,nprb,snr,bler
2026-05-13T14:47:26.738624,ed5a,0,42,0,5,38.5,0.00000
2026-05-13T14:47:27.058133,d6ac,0,42,0,5,43.0,0.00000
2026-05-13T14:47:27.058224,ed5a,0,42,0,5,46.0,0.00000
2026-05-13T14:47:28.630280,d6ac,0,42,0,5,51.0,0.00000
2026-05-13T14:47:28.630346,ed5a,0,42,0,5,51.0,0.00000
2026-05-13T14:47:30.218848,d6ac,0,42,0,5,24.5,0.00000
2026-05-13T14:47:30.218951,ed5a,0,42,0,5,27.0,0.00000
2026-05-13T14:47:33.197039,d6ac,0,42,0,5,30.0,0.00000
2026-05-13T14:47:33.197104,ed5a,0,42,0,5,32.5,0.00000
2026-05-13T14:47:34.756165,d6ac,0,42,0,5,36.0,0.00000
2026-05-13T14:47:34.756243,ed5a,0,42,0,5,38.5,0.00000
2026-05-13T14:47:36.447156,d6ac,0,42,0,5,43.0,0.00000
2026-05-13T14:47:36.447246,ed5a,0,42,0,5,46.0,0.00000
2026-05-13T14:47:37.935580,d6ac,0,42,0,5,51.0,0.00000
2026-05-13T14:47:37.935648,ed5a,0,42,0,5,51.0,0.00000
2026-05-13T14:47:39.271913,d6ac,0,42,0,5,51.0,0.00000
2026-05-13T14:47:39.271992,ed5a,0,42,0,5,51.0,0.00000
2026-05-13T14:47:40.535410,d6ac,0,42,0,5,30.0,0.00000
2026-05-13T14:47:40.535461,ed5a,0,42,0,5,32.5,0.00000
2026-05-13T14:47:41.874088,d6ac,0,42,0,5,36.0,0.00000
2026-05-13T14:47:41.874187,ed5a,0,42,0,5,38.5,0.00000
